#     0                    1                    2              3              4         5         6         7          8          9         10           11         12         13         14         15         16           17         18         19         20         21         22           23         24         25         26         27         28           29         30         31         32         33         34            35          36          37          38            39          40          41          42            43          44          45          46            47          48          49          50
#   NUM         GLITCH-UTC-S         GLITCH-UTC-E  GLITCH-LMST-S  GLITCH-LMST-E  U-GLITCH  V-GLITCH  W-GLITCH      U-RAW      V-RAW      W-RAW        U-GAI      V-GAI      W-GAI      Z-GAI      N-GAI      E-GAI        U-DIS      V-DIS      W-DIS      Z-DIS      N-DIS      E-DIS        U-VEL      V-VEL      W-VEL      Z-VEL      N-VEL      E-VEL        U-ACC      V-ACC      W-ACC      Z-ACC      N-ACC      E-ACC    PHI_3D_GAI  INC_3D_GAI  SNR_3D_GAI  POL_3D_GAI    PHI_3D_DIS  INC_3D_DIS  SNR_3D_DIS  POL_3D_DIS    PHI_3D_VEL  INC_3D_VEL  SNR_3D_VEL  POL_3D_VEL    PHI_3D_ACC  INC_3D_ACC  SNR_3D_ACC  POL_3D_ACC
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000001:  2019-06-01T17:51:22  2019-06-01T17:51:47   182S12:15:25   182S12:15:49         0         0         1      -1609      -1608       4921    -1.87e-08  -1.78e-08   5.69e-08   3.02e-08  -2.15e-08  -5.38e-08    -3.75e-08  -2.77e-08  -1.23e-07  -6.39e-08  -5.42e-08   1.09e-07     7.45e-08    1.4e-07   -3.1e-07   3.28e-07   3.91e-08   1.82e-07    -5.72e-07   6.55e-07   9.27e-07  -7.32e-07  -6.33e-07   6.99e-07          78.2        61.0       6.003       0.929         264.6       123.0      11.518       0.960         265.9       153.5       3e+02       0.998          94.6        85.0         0.2       0.339
000002:  2019-06-01T21:12:05  2019-06-01T21:12:30   182S15:30:45   182S15:31:09         1         0         0     -13867      -7524      10658    -1.61e-07  -8.32e-08   1.23e-07   -2.9e-08   1.25e-07  -1.65e-07    -5.47e-08   7.34e-08  -5.55e-08  -1.87e-08   9.22e-08   4.29e-08    -2.36e-07  -7.97e-08  -1.37e-07   1.51e-07   1.37e-07   -1.6e-07    -6.24e-06  -3.29e-06   4.58e-06  -1.04e-06  -4.83e-06  -6.22e-06         126.7        86.6      11.133       0.959         206.5       100.9      12.138       0.962         156.7       149.2           2       0.828         308.5        94.0       1e+01       0.960
000003:  2019-06-01T21:48:01  2019-06-01T21:48:26   182S16:05:43   182S16:06:07         1         1         0     -14866      -7499      10848    -1.72e-07  -8.29e-08   1.25e-07  -2.84e-08  -1.25e-07  -1.69e-07     6.18e-08  -4.42e-08  -2.13e-08   5.16e-09  -6.19e-08      4e-08     -1.5e-07  -9.19e-08   2.18e-07   1.49e-07   1.11e-07  -2.18e-07     6.52e-06   3.51e-06  -5.07e-06  -1.16e-06  -4.95e-06  -6.58e-06         130.8        86.4      11.708       0.961         324.0        89.8      12.690       0.963          99.5        46.5           5       0.917         313.3        93.5       1e+01       0.964
000004:  2019-06-01T22:07:30  2019-06-01T22:07:55   182S16:24:41   182S16:25:05         0         0         1        743       -737      -3333     8.62e-09  -8.15e-09  -3.85e-08  -2.56e-08   1.16e-08   2.89e-08    -2.63e-08   2.49e-08   1.03e-07   6.84e-08   4.32e-08  -7.56e-08    -4.03e-08    8.9e-08  -1.49e-07   2.65e-08   7.55e-08   1.47e-07     2.07e-07   2.42e-07  -2.43e-07   2.71e-07   1.74e-07  -2.16e-07         247.0       130.3      25.774       0.981          72.3        48.6      33.207       0.985         244.2        97.9       4e+02       0.999          70.3        14.7         0.2       0.600
000005:  2019-06-01T22:36:46  2019-06-01T22:37:11   182S16:53:10   182S16:53:34         1         1         1      -1470       1738      -1124     -1.7e-08   1.92e-08   -1.3e-08   -7.7e-09   2.13e-08  -1.12e-08    -5.92e-08   7.52e-08  -2.39e-08  -8.83e-09   8.59e-08   6.91e-09     -1.2e-07   1.59e-07  -1.49e-08  -3.72e-08   1.79e-07  -4.33e-08     2.86e-07   2.93e-07   2.55e-07   3.51e-07  -2.11e-07    2.5e-07         180.5        91.6       4.594       0.911         180.4        90.7     124.390       0.996         168.4        80.2       8e+02       0.999         282.8         7.5         0.9       0.737
000006:  2019-06-01T22:42:32  2019-06-01T22:42:57   182S16:58:47   182S16:59:11         1         1         1      -1157       1725        968    -1.34e-08   1.91e-08   1.12e-08  -1.15e-08   2.22e-08   -1.1e-08     5.16e-08  -8.72e-08   3.63e-08   3.53e-09  -9.92e-08   1.88e-08     1.35e-08   1.09e-07   2.32e-08   8.83e-08   7.58e-08   1.43e-08    -2.67e-07  -3.41e-07   2.82e-07  -4.63e-07   3.33e-07  -3.01e-07         189.1        90.9       6.291       0.931           9.3        90.1     116.589       0.996         187.2        39.6       2e+02       0.997          92.4       173.6           1       0.744
000007:  2019-06-01T22:49:44  2019-06-01T22:50:09   182S17:05:47   182S17:06:11         1         1         0       -856       1402       -794    -9.93e-09   1.55e-08  -9.18e-09  -6.19e-09   1.67e-08  -6.05e-09     2.82e-08  -5.45e-08  -2.56e-08  -8.62e-09  -6.02e-08   1.85e-08     1.57e-08      1e-08   1.21e-07   8.88e-08  -3.64e-08  -8.34e-08      1.8e-07   1.92e-07   1.58e-07  -2.83e-07    1.3e-07  -1.35e-07         188.2        92.4      11.099       0.959          13.7        91.8      69.247       0.993          68.4        43.1       2e+02       0.998         108.2       173.4           4       0.898
000008:  2019-06-01T22:52:33  2019-06-01T22:52:58   182S17:08:31   182S17:08:56         0         1         1       6121      -1864      -4735      7.1e-08  -2.06e-08  -5.47e-08  -9.17e-09  -4.22e-08    7.5e-08     -3.6e-08   6.35e-08  -2.04e-08  -7.85e-09   7.01e-08  -9.48e-09    -6.39e-08   1.68e-07  -7.48e-08   8.91e-08   1.44e-07   1.11e-07    -2.11e-06   7.65e-07   -1.7e-06  -3.13e-07   1.47e-06   2.21e-06         118.6        88.7       6.819       0.936         185.9        87.3     129.541       0.996         204.8        60.0       2e+01       0.979         123.3        90.2       2e+01       0.976
000009:  2019-06-01T22:57:45  2019-06-01T22:58:10   182S17:13:35   182S17:13:59         1         0         0       -821       1032       -569    -9.52e-09   1.14e-08  -6.58e-09  -4.03e-09   1.31e-08  -4.57e-09    -6.21e-08   1.04e-07  -3.22e-08  -1.36e-08   1.17e-07  -1.21e-08     7.72e-08  -1.28e-07   1.24e-08  -2.78e-08  -1.38e-07  -1.25e-08    -2.09e-07   -1.8e-07  -1.74e-07  -2.32e-07  -1.03e-07  -1.57e-07         182.6        98.4      12.373       0.963         186.3        86.7     225.179       0.998         356.9       101.6       1e+03       0.999         101.9       173.9           4       0.906
000010:  2019-06-01T23:01:44  2019-06-01T23:02:09   182S17:17:28   182S17:17:52         1         1         1       -661       1024        645    -7.67e-09   1.13e-08   7.46e-09   5.14e-09   1.27e-08  -6.28e-09    -3.54e-08   6.62e-08  -2.45e-08   9.62e-09   7.13e-08   1.44e-08     4.83e-08  -3.16e-08   1.38e-07   1.05e-07  -7.28e-08  -8.53e-08    -2.19e-07  -1.81e-07  -2.47e-07  -2.64e-07   1.02e-07   1.84e-07         188.6        90.0       8.422       0.947         186.0        85.4      50.529       0.990          57.5        42.2       9e+01       0.995         115.9       174.8           5       0.910
