#    0                    1                    2              3              4           5         6         7             8          9         10           11         12         13         14         15         16            17              18              19              20              21          22
#  NUM         GLITCH-UTC-S         GLITCH-UTC-E  GLITCH-LMST-S  GLITCH-LMST-E    U-GLITCH  V-GLITCH  W-GLITCH         U-RAW      V-RAW      W-RAW        U-GAI      V-GAI      W-GAI      Z-GAI      N-GAI      E-GAI    AZI_3D_GAI  AZI_ERR_3D_GAI      INC_3D_GAI  INC_ERR_3D_GAI      SNR_3D_GAI  POL_3D_GAI
# --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000001  2019-05-22T23:31:39  2019-05-22T23:32:04   173M00:11:52   173M00:12:16           0         1         1           144       1039       1430     5.41e-09   1.29e-08   1.58e-08   5.41e-09   1.29e-08   1.58e-08          50.2             3.9           101.4             4.2            73.5       0.993
000002  2019-05-22T23:47:03  2019-05-22T23:47:28   173M00:26:51   173M00:27:16           1         1         1          1901        702      12560     8.97e-08   1.29e-08   1.18e-07   8.97e-08   1.29e-08   1.18e-07          84.3             0.8           127.2             1.2        1.46e+03       1.000
000003  2019-05-22T23:48:53  2019-05-22T23:49:18   173M00:28:38   173M00:29:03           1         0         1          1063        237       1075     3.38e-09   4.94e-09   1.78e-08   3.38e-09   4.94e-09   1.78e-08         102.1             4.7            85.2             4.9            29.2       0.983
000004  2019-05-23T00:00:48  2019-05-23T00:01:13   173M00:40:14   173M00:40:39           0         0         1           285        203       5258     4.11e-08   1.18e-08   4.71e-08   4.11e-08   1.18e-08   4.71e-08          77.8             1.2           130.3             1.4             528       0.999
000005  2019-05-23T00:05:46  2019-05-23T00:06:11   173M00:45:04   173M00:45:28           0         1         1            98        669        617     2.18e-09   8.77e-09   7.61e-09   2.18e-09   8.77e-09   7.61e-09          42.7             7.0            90.5             7.4            29.8       0.984
000006  2019-05-23T00:18:57  2019-05-23T00:19:22   173M00:57:54   173M00:58:18           1         0         1          1435        201       1778      3.1e-09   6.57e-09   2.52e-08    3.1e-09   6.57e-09   2.52e-08         280.1             3.4            87.5             3.5            93.5       0.995
000007  2019-05-23T00:38:09  2019-05-23T00:38:34   173M01:16:35   173M01:17:00           1         1         1          4498       6752       2237     3.16e-08   7.94e-08   3.43e-08   3.16e-08   7.94e-08   3.43e-08         160.1             1.7           110.0             1.9            69.4       0.993
000008  2019-05-23T01:00:04  2019-05-23T01:00:29   173M01:37:55   173M01:38:19           1         1         1           824        897       7659     5.05e-08   2.29e-08   7.53e-08   5.05e-08   2.29e-08   7.53e-08          75.7             2.8           123.0             3.1             187       0.997
000009  2019-05-23T01:28:43  2019-05-23T01:29:08   173M02:05:48   173M02:06:12           1         0         1          1418        202       1292     1.26e-08   1.21e-08   2.42e-08   1.26e-08   1.21e-08   2.42e-08         109.9             7.9            89.1            12.0              12       0.962
000010  2019-05-23T01:40:33  2019-05-23T01:40:58   173M02:17:19   173M02:17:43           1         0         1          1199        586       7685     4.95e-08    2.2e-08    7.7e-08   4.95e-08    2.2e-08    7.7e-08          78.6             1.5           122.6             1.6             416       0.999
