#     0                    1                    2         3         4         5          6          7          8            9         10         11         12         13         14           15         16         17         18         19         20           21         22         23         24         25         26           27         28         29         30         31         32            33          34          35          36            37          38          39          40            41          42          43          44            45          46          47          48
#   NUM         GLITCH-START           GLITCH-END  U-GLITCH  V-GLITCH  W-GLITCH      U-RAW      V-RAW      W-RAW        U-GAI      V-GAI      W-GAI      Z-GAI      N-GAI      E-GAI        U-DIS      V-DIS      W-DIS      Z-DIS      N-DIS      E-DIS        U-VEL      V-VEL      W-VEL      Z-VEL      N-VEL      E-VEL        U-ACC      V-ACC      W-ACC      Z-ACC      N-ACC      E-ACC    PHI_3D_GAI  INC_3D_GAI  SNR_3D_GAI  POL_3D_GAI    PHI_3D_DIS  INC_3D_DIS  SNR_3D_DIS  POL_3D_DIS    PHI_3D_VEL  INC_3D_VEL  SNR_3D_VEL  POL_3D_VEL    PHI_3D_ACC  INC_3D_ACC  SNR_3D_ACC  POL_3D_ACC
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000001:  2019-06-02T00:32:13  2019-06-02T00:32:38         0         1         0        115        192       -144     1.34e-09   2.13e-09  -1.67e-09   3.22e-09   9.21e-10   7.66e-10     5.11e-09  -1.76e-08  -1.19e-08  -2.17e-08   -1.1e-08   3.87e-09    -5.09e-07  -8.81e-07  -7.97e-07  -1.48e-06  -2.22e-07   1.34e-07     1.14e-07   2.27e-07   2.37e-07   3.89e-07   6.21e-08   6.99e-08         326.9         3.7      31.566       0.985         166.2       156.8      34.641       0.986         145.2       170.4       3e+05       1.000         131.3        13.1       1e+04       1.000
000002:  2019-06-02T00:32:18  2019-06-02T00:32:43         0         0         1        116        182       -162     1.35e-09   2.02e-09  -1.87e-09    3.1e-09   7.45e-10   6.57e-10    -6.05e-09  -1.47e-08   -1.1e-08  -2.16e-08  -1.02e-08  -4.45e-09    -5.09e-07  -8.86e-07  -8.01e-07  -1.49e-06  -2.25e-07   1.36e-07     1.16e-07   2.27e-07   2.36e-07   3.91e-07    6.1e-08   6.89e-08         349.3         7.4      26.784       0.982         131.5       163.1      18.865       0.975         145.8       170.3       7e+05       1.000         131.1        13.1       1e+04       1.000
000003:  2019-06-02T00:32:28  2019-06-02T00:32:53         0         1         0        110        164       -177     1.28e-09   1.81e-09  -2.05e-09   -3.1e-09  -7.86e-10    8.2e-10    -1.01e-08  -1.33e-08   1.27e-08  -2.01e-08  -7.85e-09  -5.29e-09    -5.08e-07  -8.93e-07  -8.13e-07   -1.5e-06  -2.29e-07   1.43e-07     1.16e-07   2.29e-07   2.37e-07   3.92e-07   6.49e-08   6.93e-08         130.3       166.9      33.662       0.986         190.6       170.6      32.923       0.985         146.2       170.3       7e+05       1.000         130.8        13.1       8e+03       1.000
000004:  2019-06-02T00:32:36  2019-06-02T00:33:01         0         0         1        160       -170        157     1.86e-09  -1.88e-09   1.82e-09   3.16e-09  -9.35e-10   7.08e-10     -1.6e-08  -9.11e-09   9.88e-09  -2.05e-08  -3.34e-09  -6.79e-09    -5.07e-07  -8.96e-07  -8.23e-07  -1.51e-06   -2.3e-07   1.51e-07     1.18e-07   2.32e-07    2.4e-07   3.97e-07   6.32e-08   7.16e-08         255.2         6.4      67.064       0.993         309.5       168.5     151.847       0.997         146.6       170.5       7e+05       1.000         130.7        13.1       8e+03       1.000
000005:  2019-06-02T00:32:49  2019-06-02T00:33:14         0         1         0        190       -148       -150     2.21e-09  -1.64e-09  -1.74e-09   3.25e-09  -7.53e-10   4.29e-10    -2.48e-08   9.42e-09    1.3e-08  -2.16e-08   1.13e-08  -1.43e-08     5.21e-07  -9.07e-07  -8.41e-07  -1.52e-06  -2.42e-07   1.69e-07     1.22e-07    2.3e-07   2.44e-07   4.03e-07  -6.27e-08   7.27e-08         151.6         4.1      89.228       0.994         321.7       166.7     182.841       0.997         146.7       170.6       3e+06       1.000         130.5        13.2       6e+03       1.000
000006:  2019-06-02T00:32:58  2019-06-02T00:33:23         0         0         1       -400        109       -169    -4.64e-09   1.21e-09  -1.96e-09   -3.5e-09   1.98e-09  -3.13e-09    -2.23e-08   1.21e-08     -2e-08  -1.79e-08   1.43e-08  -1.66e-08     5.38e-07  -9.18e-07  -8.56e-07  -1.53e-06  -2.56e-07   1.88e-07     1.16e-07   2.32e-07   2.46e-07   4.01e-07  -6.21e-08  -7.41e-08         313.9       154.7       6.252       0.931         306.4       129.1       2.929       0.873         146.2       170.4       1e+05       1.000         310.4        13.5       4e+03       1.000
000007:  2019-06-02T00:33:04  2019-06-02T00:33:29         0         0         1       -339       -167        184    -3.93e-09  -1.85e-09   2.13e-09   3.33e-09      2e-09  -3.28e-09    -2.03e-08   1.49e-08  -2.18e-08  -1.84e-08   1.63e-08  -1.83e-08     5.42e-07  -9.28e-07  -8.67e-07  -1.53e-06  -2.71e-07   2.04e-07     1.16e-07   2.36e-07   2.46e-07   4.05e-07   6.44e-08   7.36e-08         306.6        24.0       3.108       0.878         301.9       114.9      22.526       0.979         145.1       170.0       3e+04       1.000         130.2        13.6       4e+03       1.000
000008:  2019-06-02T00:33:11  2019-06-02T00:33:36         0         0         1       -277       -172        226    -3.22e-09   -1.9e-09   2.61e-09   3.31e-09   2.03e-09  -3.44e-09    -1.83e-08   1.56e-08  -1.82e-08  -1.93e-08   1.78e-08  -1.99e-08     5.47e-07   -9.4e-07  -8.77e-07  -1.53e-06  -2.87e-07   2.18e-07      1.2e-07   2.39e-07   2.46e-07   4.07e-07   6.68e-08  -7.53e-08         298.1        11.9       0.808       0.724         295.6       116.7       5.886       0.927         143.7       169.5       3e+04       1.000         310.0        13.6       4e+03       1.000
000009:  2019-06-02T00:33:16  2019-06-02T00:33:41         0         1         0       -222        179        301    -2.58e-09   1.98e-09   3.48e-09   3.34e-09   2.07e-09  -3.58e-09    -1.43e-08   1.15e-08  -1.58e-08     -2e-08   1.28e-08    1.4e-08     5.51e-07  -9.49e-07  -8.86e-07  -1.53e-06  -3.02e-07   2.32e-07     1.17e-07   2.34e-07    2.5e-07   4.05e-07  -6.41e-08   7.53e-08         296.5        35.4       3.038       0.876           7.6       156.8       0.962       0.745         142.7       169.1       3e+05       1.000         130.1        13.5       3e+03       1.000
000010:  2019-06-02T00:33:55  2019-06-02T00:34:20         0         0         1        -76        345       -174    -8.88e-10   3.81e-09  -2.02e-09  -3.34e-09   2.84e-09   9.44e-10     2.56e-08  -2.39e-08  -7.81e-09  -1.67e-08  -3.03e-08   1.03e-08     4.76e-07  -9.59e-07   8.65e-07   1.56e-06  -3.14e-07   2.16e-07     1.16e-07   2.44e-07    2.5e-07   4.11e-07   7.14e-08  -7.53e-08         335.8       148.0      39.238       0.988         152.2       143.1       3.581       0.891         146.1        13.2       8e+05       1.000         309.9        13.4       4e+03       1.000
000011:  2019-06-02T00:36:41  2019-06-02T00:37:06         0         1         0       -415        362       -227    -4.82e-09   4.01e-09  -2.63e-09  -3.85e-09   5.93e-09  -1.48e-09     2.94e-08   3.82e-08  -9.39e-09  -6.49e-09   4.43e-08   1.18e-08     6.27e-07  -8.03e-07    9.1e-07   1.57e-06  -2.49e-07  -1.75e-07     1.05e-07   2.23e-07   2.39e-07   3.82e-07   6.49e-08  -7.76e-08           4.0       135.1       8.855       0.949         353.1        95.8     239.372       0.998         132.2         8.6       6e+03       1.000         310.1        14.9       8e+02       0.999
000012:  2019-06-02T00:36:55  2019-06-02T00:37:20         0         1         0       -247        525       -272    -2.87e-09   5.81e-09  -3.15e-09  -3.77e-09   5.76e-09   1.64e-09     3.03e-08   -3.3e-08   7.87e-09    7.2e-09  -3.95e-08   8.67e-09     5.84e-07  -8.67e-07   8.83e-07   1.54e-06   -3.3e-07  -1.72e-07     1.05e-07   2.24e-07   2.34e-07   3.76e-07   6.98e-08  -7.67e-08         342.4       137.6       7.372       0.940         171.6        79.8      14.737       0.968         144.0        10.9       2e+04       1.000         309.3        14.7       9e+02       0.999
000013:  2019-06-02T00:37:06  2019-06-02T00:37:31         0         1         0        125       -264       -207     1.46e-09  -2.93e-09   -2.4e-09  -3.65e-09  -1.99e-09   1.41e-09     2.97e-08  -2.78e-08   1.26e-08  -7.13e-09  -3.62e-08  -1.53e-08     5.65e-07  -8.65e-07   8.53e-07   1.52e-06  -3.29e-07  -1.55e-07     1.06e-07   2.19e-07   2.38e-07   3.81e-07   6.65e-08  -7.85e-08         159.4       154.3      15.370       0.969         143.3       107.5      30.259       0.984         147.7        11.3       9e+04       1.000         307.8        14.3       1e+03       1.000
000014:  2019-06-02T00:37:55  2019-06-02T00:38:20         0         0         1       -185        235       -227    -2.15e-09    2.6e-09  -2.63e-09  -4.04e-09   1.33e-09  -1.09e-09     9.36e-09   8.75e-09  -2.26e-08  -9.39e-09   8.97e-09   2.09e-08     4.79e-07   8.59e-07   8.32e-07   1.47e-06  -3.24e-07   -1.8e-07     1.07e-07   2.13e-07   2.35e-07   3.61e-07   6.63e-08  -8.46e-08          69.4       174.1      13.683       0.966          50.3       111.9       6.002       0.929         147.1        13.3       8e+04       1.000         306.6        15.0       7e+02       0.999
